galaxy,Hbeta,Hbeta note,[OIII]5007,[OIII]5007 note,[OI]6300,[OI]6300 note,[NII]6583,[NII]6583 note,log Halpha flux,log Halpha flux note,log Halpha lum,log Halpha lum note,Halpha width,Halpha width note,[NII]6583 FWHM,[NII]6583 FWHM note
NGC 4125,0.4,  ,0.57, ,0.14,b,2.07, ,-13.89,L ,38.96,L ,1.34, ,301,
NGC 4136,0.29,  ,0.19, ,0.017,b,0.33, ,-13.94,  ,38.12,  ,16.78, ,137,u
NGC 4138,0.27,  ,1.62, ,0.33, ,1.47, ,-14,  ,38.54,  ,2.36, ,211,
NGC 4143,0.62,  ,1.32, ,0.71, ,1.75, ,-13.85,  ,38.69,  ,1.53, ,307,
NGC 4144,0.17,  ,0.33, ,0.029,u,0.14, ,-14.56,  ,36.74,  ,69, ,127,u
NGC 4145,0.34,c ,0.37,c,0.13,c,0.61,b,-14.99,b ,37.72,b ,1.75,b,   ,
NGC 4150,0.4,  ,0.35, ,0.13, ,0.98, ,-13.87,  ,38.18,  ,2.11, ,245,
NGC 4151,0.29,  ,3.4, ,0.22, ,0.68, ,-11.48,L ,41.22,L ,48.89, ,331,
NGC 4152,0.22,  ,0.05, ,0.009, ,0.49, ,-13.22,L ,39.94,L ,33.38, ,138,
NGC 4157,0.09,  ,0.02,b,0.017,b,0.34, ,-13.88,  ,38.66,  ,6.21, ,99,
NGC 4162,0.23,  ,0.16, ,0.026,b,0.48, ,-14.01,L ,39.24,L ,5.28, ,127,
NGC 4168,0.54,c ,2.04,b,0.27,u,2.85, ,-14.93,  ,37.6,  ,0.3, ,305,
NGC 4169,0.04,c ,0.8, ,0.35,b,2.75, ,-14.4,  ,39.08,  ,1.02, ,386,
NGC 4178,0.32,  ,0.11, ,0.022,b,0.32, ,-14.3,  ,38.23,  ,17.31, ,146,u
NGC 4183,0.21,  ,0.19, ,0.027, ,0.24, ,-13.92,  ,38.62,  ,30.85, ,68,
NGC 4192,0.07,b ,0.14,b,0.14, ,1.41, ,-13.56,  ,38.97,  ,4.64, ,266,
NGC 4203,0.97,b ,1.51, ,1.22,b,1.84, ,-13.7,  ,38.35,  ,1.57, ,346,
NGC 4212,0.21,  ,0.03, ,0.017, ,0.41, ,-13.14,  ,39.39,  ,46.1, ,131,
NGC 4214,0.36,  ,1.32, ,0.007, ,0.07, ,-12.58,  ,38.58,  ,125.92, ,102,
NGC 4216,0.23,  ,0.47, ,0.12,b,2.04, ,-14,  ,38.53,  ,0.86, ,344,
NGC 4217,0.18,  ,0.1, ,0.049,b,0.46, ,-14.61,  ,37.93,  ,6.31, ,139,u
NGC 4220,0.11,b ,0.29, ,0.12,b,1.05, ,-14.28,  ,38.26,  ,2.63, ,184,
NGC 4235,0.13,  ,1.64, ,0.85, ,2.57, ,-13.92,  ,39.25,  ,3.14, ,398,
NGC 4236,0.34,  ,0.7, ,0.026, ,0.17, ,-14.37,L ,36.39,L ,       , ,124,u
NGC 4242,0.45,u ,0.45,u,0.27,u,0.27,c,-15.66,b ,36.17,b ,1.1,b,   ,
NGC 4244,0.29,  ,0.25, ,0.026,u,0.22, ,-14.41,  ,36.65,  ,3.95, ,137,u
NGC 4245,0.48,b ,0.41, ,0.038,u,0.7, ,-14.3,  ,37.75,  ,1.55, ,122,
NGC 4254,0.16,  ,0.15, ,0.022, ,0.48, ,-13.72,  ,38.81,  ,8.06, ,87,
NGC 4258,0.25,  ,2.62, ,0.38, ,0.8, ,-13.4,  ,38.35,  ,3.28, ,296,
NGC 4261,0.2,b ,0.5, ,0.49, ,2.6, ,-13.82,  ,39.35,  ,2.02, ,369,
NGC 4273,0.23,  ,0.04, ,0.011, ,0.38, ,-12.91,  ,40.26,  ,62.35, ,133,
NGC 4274,0.31,sb,0.13,u,0.036,b,0.61, ,-13.58,  ,38.47,  ,4.65, ,114,
NGC 4278,0.39,  ,0.51, ,0.41, ,1.22, ,-12.88,  ,39.17,  ,8.04, ,479,
NGC 4281,0.36,c ,0.54,u,0.19,u,2.11,b,-14.56,b ,38.61,b ,0.48,b,   ,
NGC 4293,0.13,  ,0.22, ,0.18, ,1.41, ,-13.77,  ,38.77,  ,6.84, ,260,
NGC 4298,0.2,  ,0.05, ,0.016, ,0.33, ,-13.53,  ,39,  ,47.63, ,104,
NGC 4303,0.25,  ,0.34, ,0.045, ,0.78, ,-12.84,  ,39.6,  ,12.32, ,164,
NGC 4314,0.28,  ,0.2, ,0.18,b,1.01, ,-13.6,  ,38.45,  ,2.78, ,205,
NGC 4321,0.22,  ,0.18, ,0.11, ,1.18, ,-13.54,  ,38.99,  ,7.85, ,235,
NGC 4324,0.86,c ,1.46,b,0.16,u,0.63,b,-14.22,b ,38.95,b ,0.69,b,176,
NGC 4346,1.54,u ,1.96,c,0.79,u,3.72,c,-15,c ,37.53,c ,0.13,c,269,b
NGC 4350,0.32,sb,0.53,u,0.18,u,1.36,b,-14.27,bL,38.26,bL,0.63,b,581,b
NGC 4369,0.33,  ,0.14, ,0.014, ,0.37, ,-13.06,  ,39.68,  ,29.76, ,112,
NGC 4374,0.21,  ,0.36, ,0.33, ,1.81, ,-13.64,  ,38.89,  ,2.08, ,331,
NGC 4378,0.28,b ,1.14, ,0.3,b,2.78, ,-14.36,  ,38.8,  ,0.86, ,340,
NGC 4380,0.25,  ,0.29, ,0.048,b,0.67, ,-14.51,  ,38.02,  ,2.01, ,124,
NGC 4388,0.17,  ,1.91, ,0.16, ,0.57, ,-12.46,L ,40.07,L ,217.66, ,280,
NGC 4394,0.23,  ,0.64, ,0.44, ,1.08, ,-14.2,  ,38.33,  ,1.37, ,134,
NGC 4395,0.47,  ,2.93, ,0.36, ,0.44, ,-13.31,L ,37.88,L ,132.59, ,123,u
NGC 4405,0.24,  ,0.04, ,0.026, ,0.33, ,-13.82,  ,39.26,  ,13.48, ,99,
NGC 4414,0.33,u ,0.19,L,0.14,u,0.59,L,-14,u ,38.05,u ,0.98,u,310,
NGC 4419,0.08,  ,0.17, ,0.075, ,0.98, ,-13.28,  ,39.25,  ,9.8, ,248,
NGC 4424,0.18,  ,0.05, ,0.014,b,0.33, ,-13.51,L ,39.02,L ,23.51, ,67,
NGC 4429,0.17,  ,0.18, ,0.097,b,1.32, ,-14.02,  ,38.51,  ,1.76, ,306,
NGC 4435,0.16,  ,0.11, ,0.13,b,0.68, ,-13.55,  ,38.98,  ,3.18, ,349,
NGC 4438,0.17,  ,0.27, ,0.27, ,1.64, ,-13.15,  ,39.37,  ,11.3, ,354,
NGC 4448,0.25,  ,0.06, ,0.022,b,0.45, ,-13.49,  ,38.57,  ,16.03, ,214,
NGC 4449,0.31,  ,0.74, ,0.022, ,0.14, ,-12.62,  ,38.42,  ,44.01, ,104,
NGC 4450,0.39,  ,0.83, ,0.67, ,1.94, ,-13.67,L ,38.86,L ,2.89, ,301,
NGC 4457,0.26,  ,0.23, ,0.19, ,1.04, ,-12.99,  ,39.57,  ,4.5, ,273,
NGC 4459,0.3,c ,0.12,c,0.13,u,1.22, ,-13.78,  ,38.75,  ,1.42, ,381,
NGC 4460,0.22,  ,0.27, ,0.021, ,0.23, ,-13.24,  ,38.66,  ,31.82, ,79,
NGC 4469,0.14,  ,0.13, ,0.04, ,0.52, ,-14.37,  ,38.16,  ,3.67, ,119,
NGC 4470,0.35,  ,0.14, ,0.023, ,0.29, ,-13.83,L ,39.24,L ,33.84, ,131,u
NGC 4472,0.33,sc,1.65,u,1.36,u,3.43,c,-14.94,c ,37.59,c ,0.11,c,299,c
NGC 4477,0.26,  ,0.95, ,0.12, ,1.87, ,-13.69,  ,38.84,  ,2.8, ,264,
NGC 4485,0.39,u ,0.53, ,0.18, ,0.2, ,-14.79,  ,37.23,  ,4.18, ,103,
NGC 4486,0.23,  ,0.43, ,0.3, ,2.12, ,-13.09,  ,39.44,  ,15.54, ,999,
NGC 4490,0.16,c ,0.4, ,0.12, ,0.25, ,-14.08,  ,37.78,  ,5.32, ,108,
NGC 4494,0.56,u ,0.65,c,0.48,u,1.61,L,-14.51,u ,37.54,u ,0.24,u,364,b
NGC 4496,0.37,  ,0.73, ,0.027, ,0.12, ,-13.85,  ,38.47,  ,713.5, ,122,u
NGC 4496,0.12,  ,0.03, ,0.019, ,0.4, ,-13.36,L ,38.95,L ,54.52, ,148,
NGC 4501,0.28,  ,1.47, ,0.19, ,2.1, ,-13.6,  ,38.93,  ,3.99, ,194,
NGC 4517,0.13,b ,0.16, ,0.054, ,0.51, ,-14.69,  ,37.37,  ,5.64, ,85,
NGC 4526,0.18,  ,0.07,b,0.046,u,0.8, ,-13.61,  ,38.92,  ,2.14, ,206,
NGC 4527,0.1,  ,0.1, ,0.075, ,0.75, ,-13.48,L ,38.86,L ,6.02, ,159,
NGC 4532,0.25,  ,0.68, ,0.018, ,0.09, ,-12.77,  ,39.69,  ,433.15, ,140,u
NGC 4535,0.22,  ,0.03, ,0.011, ,0.41, ,-12.81,  ,39.72,  ,54.1, ,86,
NGC 4536,0.19,  ,0.06, ,0.03, ,0.47, ,-12.94,  ,39.38,  ,30.75, ,118,
NGC 4548,0.4,  ,0.45, ,0.23, ,1.38, ,-14.07,  ,38.46,  ,2.09, ,177,
NGC 4550,0.3,  ,0.55, ,0.17, ,0.55, ,-14.11,L ,38.41,L ,1.78, ,168,
NGC 4552,0.3,b ,0.34,b,0.13,u,1.5, ,-14.01,  ,38.52,  ,0.76, ,708,
NGC 4559,0.27,  ,0.09, ,0.028, ,0.42, ,-14,  ,38.05,  ,8.91, ,126,u
NGC 4565,0.2,  ,1.76, ,0.31, ,2.5, ,-14.08,  ,37.97,  ,1.44, ,181,
NGC 4567,0.22,  ,0.03,b,0.015,b,0.28, ,-13.75,  ,38.78,  ,10.44, ,117,
NGC 4568,0.09,  ,0.03, ,0.022, ,0.38, ,-13.57,  ,38.95,  ,15.49, ,126,
NGC 4569,0.2,  ,0.23, ,0.062, ,0.9, ,-12.62,L ,39.91,L ,10.8, ,341,
NGC 4579,0.31,sb,0.96, ,0.48, ,1.89, ,-13.09,  ,39.44,  ,7.32, ,376,
NGC 4589,0.21,  ,0.5, ,0.41, ,1.42, ,-13.95,  ,39.08,  ,1.97, ,315,
NGC 4594,0.29,  ,0.45, ,0.18, ,2.19, ,-12.98,  ,39.7,  ,3.55, ,509,
NGC 4596,0.47,c ,0.47,u,0.27,u,1.48,b,-14.58,b ,37.95,b ,0.66,b,278,b
NGC 4605,0.3,  ,0.28, ,0.061, ,0.26, ,-14.1,  ,37.19,  ,9.31, ,84,
NGC 4618,0.35,  ,0.64, ,0.012, ,0.16, ,-13.64,  ,38.16,  ,114.05, ,108,u
NGC 4631,0.33,  ,0.5, ,0.03,u,0.24, ,-14.33,  ,37.42,  ,233, ,142,u
NGC 4636,0.35,  ,0.67, ,0.22, ,1.84, ,-14.27,  ,38.27,  ,1.41, ,333,
NGC 4639,0.31,  ,1.17, ,0.31, ,1.12, ,-14.19,  ,38.34,  ,1.6, ,180,
NGC 4643,0.37,c ,0.49,c,0.078,b,1.79, ,-14.46,  ,38.44,  ,0.54, ,144,
NGC 4647,0.26,  ,0.02, ,0.013, ,0.22, ,-14.01,  ,38.52,  ,14.29, ,100,
NGC 4651,0.34,  ,0.62, ,0.29, ,1.84, ,-14.29,  ,38.24,  ,1.92, ,207,
NGC 4654,0.2,  ,0.03, ,0.009, ,0.27, ,-13.46,  ,39.07,  ,42.08, ,114,
NGC 4656,0.24,  ,0.98, ,0.022, ,0.05, ,-13.85,  ,37.95,  ,40.6, ,139,
NGC 4688,0.44,  ,0.25, ,0.053,u,0.3, ,-14.94,L ,37.6,L ,6.33, ,131,u
NGC 4689,0.19,  ,0.06, ,0.053,b,0.5, ,-14.73,  ,37.8,  ,2.71, ,96,
NGC 4694,0.19,b ,0.07, ,0.015, ,0.32, ,-13.52,  ,39.01,  ,17.72, ,102,
NGC 4698,0.31,  ,1.31, ,0.074, ,1.31, ,-13.84,  ,38.69,  ,2.36, ,172,
NGC 4710,0.19,  ,0.12, ,0.045, ,0.52, ,-14.13,  ,38.39,  ,5.07, ,168,
NGC 4713,0.24,  ,0.24, ,0.087, ,0.44, ,-14.45,L ,38.14,L ,5.16, ,93,
NGC 4725,0.31,  ,2.09, ,0.089,u,1.14, ,-14.07,  ,38.19,  ,1.11, ,186,
NGC 4736,0.32,c ,0.47,c,0.24, ,2.15, ,-13.6,L ,37.75,L ,0.79, ,191,
NGC 4750,0.3,  ,0.52, ,0.6, ,2.86, ,-13.87,  ,39.04,  ,5.29, ,452,
NGC 4762,1.37,u ,1.7,b,0.48,u,2.2,b,-15.04,b ,37.49,b ,0.11,b,134,
NGC 4772,0.31,  ,0.92, ,0.54, ,1.31, ,-14.02,L ,38.49,L ,2.19, ,549,
NGC 4793,0.11,b ,0.05,c,0.03,u,0.33, ,-13.6,  ,39.66,  ,11.41, ,134,
NGC 4800,0.1,  ,0.1, ,0.041,b,0.52, ,-13.82,  ,38.62,  ,3.56, ,118,
NGC 4826,0.18,  ,0.27, ,0.073, ,1.27, ,-13.14,L ,38.16,L ,3.54, ,178,
NGC 4845,0.12,  ,0.22, ,0.034, ,0.73, ,-13.61,  ,38.85,  ,12.56, ,178,
NGC 4866,0.26,  ,0.49, ,0.23, ,1.73, ,-14.06,  ,38.42,  ,1.53, ,583,
NGC 4900,0.26,  ,0.08, ,0.012, ,0.39, ,-13.38,L ,39.18,L ,24.89, ,89,
NGC 5005,0.39,  ,0.88, ,0.65, ,4.94, ,-13.27,  ,39.47,  ,4.12, ,672,
NGC 5012,0.3,b ,0.44,b,0.081, ,1.07, ,-14.35,  ,38.94,  ,1.82, ,170,
NGC 5033,0.22,  ,1.05, ,0.29, ,2.36, ,-13.3,  ,39.32,  ,4.44, ,261,
NGC 5055,0.18,b ,0.34,b,0.17,u,1.48, ,-13.89,L ,37.91,L ,1.07, ,214,
NGC 5077,0.34,  ,0.7, ,0.34, ,1.18, ,-13.62,  ,39.67,  ,4.14, ,491,
NGC 5112,0.24,  ,0.17, ,0.051, ,0.36, ,-14.51,  ,38.19,  ,7.59, ,120,u
NGC 5147,0.23,  ,0.1,b,0.035, ,0.37, ,-14.46,  ,38.28,  ,6.47, ,101,
NGC 5194,0.12,  ,1.06, ,0.16, ,2.9, ,-12.97,L ,38.88,L ,9.93, ,224,
NGC 5195,0.53,b ,0.64,u,0.55,b,5.43,b,-14.07,bL,37.94,bL,0.62,b,234,
NGC 5204,0.49,  ,0.47, ,0.099, ,0.18, ,-14.53,L ,36.91,L ,29.2, ,79,
NGC 5248,0.14,  ,0.04, ,0.035, ,0.52, ,-13.38,  ,39.41,  ,7.84, ,173,
NGC 5273,0.32,  ,3.56, ,0.22, ,1.14, ,-13.46,L ,39.27,L ,5, ,147,
NGC 5297,0.54,u ,0.85, ,0.25, ,2.19, ,-14.94,L ,38.29,L ,1.02, ,212,
NGC 5300,0.24,  ,0.06, ,0.023, ,0.41, ,-14.19,  ,38.62,  ,19.58, ,82,
NGC 5322,0.25,u ,0.28,u,0.95,c,2.61,b,-14.32,b ,38.75,b ,0.48,b,446,b
NGC 5353,0.34,  ,0.41, ,0.19,b,1.71, ,-14.11,  ,39.12,  ,1.39, ,451,
NGC 5354,0.36,  ,0.8, ,0.14,b,1.34, ,-14.4,  ,38.71,  ,0.87, ,407,
NGC 5363,0.12,  ,0.29, ,0.22, ,1.3, ,-13.36,  ,39.42,  ,3.76, ,337,
NGC 5364,0.38,  ,0.11,b,0.056,u,0.49, ,-14.75,  ,38.14,  ,2.68, ,84,
NGC 5371,0.3,  ,0.62, ,0.28, ,2.36, ,-13.99,  ,39.24,  ,2.71, ,482,
NGC 5377,0.22,b ,0.43, ,0.25, ,2.15, ,-13.88,  ,39.18,  ,2.54, ,294,
NGC 5383,0.18,  ,0.03, ,0.034, ,0.36, ,-13.65,  ,39.59,  ,15.18, ,182,
NGC 5395,0.2,  ,0.61, ,0.17, ,1.23, ,-14.54,  ,38.87,  ,2.04, ,187,
NGC 5448,0.13,  ,0.12, ,0.2, ,1.03, ,-13.64,  ,39.47,  ,9.93, ,362,
NGC 5457,0.25,  ,0.06, ,0.017, ,0.38, ,-13.33,  ,38.21,  ,19.6, ,77,
NGC 5474,0.37,  ,0.65, ,0.024, ,0.14, ,-14.1,L ,37.54,L ,28.43, ,132,u
NGC 5485,0.36,c ,0.91,b,0.21,c,1.83, ,-14.76,  ,38.35,  ,0.51, ,397,
NGC 5523,0.24,  ,0.05, ,0.022, ,0.33, ,-14.2,L ,38.55,L ,14.18, ,116,u
NGC 5548,0.78,  ,7.87, ,0.36, ,0.88, ,-13.03,L ,40.7,L ,2.53, ,275,
NGC 5566,0.27,c ,0.51, ,0.2,b,1.75, ,-14.26,  ,38.66,  ,0.51, ,220,
NGC 5585,0.32,  ,0.55, ,0.017, ,0.15, ,-13.83,L ,37.94,L ,37.67, ,62,
NGC 5631,0.23,c ,0.78, ,0.44, ,2.61, ,-14.24,  ,38.87,  ,0.74, ,421,
NGC 5656,0.42,u ,0.54,u,0.14,u,0.94,b,-14.64,b ,38.7,b ,0.88,b,216,b
NGC 5660,0.26,  ,0.04, ,0.022, ,0.41, ,-13.72,L ,39.5,L ,16.29, ,62,
NGC 5669,0.22,  ,0.08, ,0.015, ,0.28, ,-13.45,  ,39.42,  ,56.49, ,64,
NGC 5676,0.31,  ,0.08, ,0.031,b,0.45, ,-14.1,L ,39.06,L ,3.15, ,188,
NGC 5678,0.19,  ,0.12, ,0.079, ,0.64, ,-13.99,  ,39.19,  ,4.97, ,236,
NGC 5690,0.09,  ,0.02, ,0.022, ,0.32, ,-13.97,  ,39.03,  ,26.22, ,127,u
NGC 5701,0.46,  ,0.72, ,0.14,u,0.76, ,-14.41,L ,38.5,L ,0.82, ,229,
NGC 5746,0.14,b ,0.32,b,0.1,b,2.08, ,-14.54,L ,38.48,L ,0.94, ,273,
NGC 5775,0.2,  ,0.06, ,0.044, ,0.41, ,-14.17,L ,38.76,L ,5.97, ,161,
NGC 5806,0.22,  ,0.14, ,0.066, ,0.58, ,-13.83,  ,39.15,  ,4.88, ,289,
NGC 5813,0.38,u ,0.51,b,0.19,u,2.16, ,-14.43,L ,38.56,L ,0.54, ,473,
NGC 5838,0.11,b ,0.13,b,0.053,c,1.16,b,-13.98,bL,39.01,bL,1.86,b,   ,
NGC 5846,0.26,  ,0.32, ,0.091,c,1.57, ,-14.18,  ,38.81,  ,1.64, ,450,
NGC 5850,0.23,  ,0.56, ,0.22, ,1.69, ,-14.33,L ,38.66,L ,1.22, ,227,
NGC 5866,0.15,  ,0.31, ,0.13,u,1.34, ,-14.44,  ,38.01,  ,1.28, ,221,
NGC 5879,0.19,  ,0.37, ,0.16, ,0.94, ,-14.21,  ,38.32,  ,2.49, ,168,
NGC 5905,0.23,  ,0.06, ,0.015, ,0.4, ,-13.13,  ,40.25,  ,31.28, ,291,
NGC 5907,0.08,b ,0.09,b,0.031,b,0.6, ,-14.49,  ,37.93,  ,2.27, ,85,
NGC 5921,0.22,b ,0.22,b,0.11, ,0.9, ,-13.58,L ,39.3,L ,4.69, ,175,
NGC 5962,0.22,b ,0.12, ,0.027,u,0.51, ,-13.88,  ,39.21,  ,4.54, ,207,
NGC 5970,0.41,b ,0.58,b,0.18,c,1.45, ,-15.02,  ,38.06,  ,0.57, ,105,
NGC 5982,1.14,u ,1.24,c,0.49,u,2.42,c,-14.8,c ,38.46,c ,0.24,c,487,c
NGC 5985,0.25,  ,0.66, ,0.3, ,3.08, ,-14.32,  ,38.94,  ,3.37, ,331,
NGC 6015,0.19,  ,0.08, ,0.031, ,0.47, ,-14.28,  ,38.28,  ,10.42, ,138,
NGC 6070,0.17,  ,0.04,b,0.034,u,0.44, ,-14.1,  ,38.97,  ,6.6, ,185,
NGC 6140,0.2,  ,0.13, ,0.032, ,0.29, ,-14.21,  ,38.41,  ,22.04, ,116,
NGC 6181,0.21,  ,0.04, ,0.029, ,0.48, ,-13.57,  ,39.64,  ,9.82, ,180,
NGC 6207,0.31,  ,0.19, ,0.016, ,0.28, ,-13.54,  ,39.02,  ,119.75, ,102,
NGC 6217,0.26,  ,0.07, ,0.032, ,0.64, ,-12.43,  ,40.41,  ,69.15, ,224,
NGC 6236,0.24,  ,0.34, ,0.041,u,0.17, ,-14.41,  ,38.4,  ,38.8, ,91,
NGC 6340,0.43,b ,0.66, ,0.43,b,1.08, ,-14.27,  ,38.5,  ,1.11, ,393,
NGC 6384,0.32,b ,0.49, ,0.15,u,1.73, ,-14.8,  ,38.12,  ,0.62, ,194,
NGC 6412,0.28,  ,0.03, ,0.012, ,0.28, ,-13.71,  ,39.11,  ,37.6, ,122,
NGC 6482,     ,  ,     , ,0.13,u,2.33, ,-14.28,  ,39.23,  ,1.19, ,432,
NGC 6500,0.27,  ,0.38, ,0.23, ,0.73, ,-12.96,  ,40.31,  ,27.35, ,553,
NGC 6501,     ,  ,     , ,0.87,u,2.98,c,-15.26,c ,38.01,c ,0.11,c,400,c
NGC 6503,     ,  ,     , ,0.08, ,0.65, ,-14.09,  ,37.56,  ,8.39, ,112,
NGC 6643,0.17,  ,0.03, ,0.007, ,0.32, ,-13.85,  ,39.04,  ,14.64, ,120,
NGC 6689,0.23,  ,0.43, ,0.067, ,0.4, ,-14.71,  ,37.54,  ,9.24, ,70,
NGC 6702,     ,  ,     , ,0.62,u,2.41,c,-15.07,c ,38.61,c ,0.22,c,424,c
NGC 6703,0.63,u ,0.89, ,0.36,u,3, ,-14.68,  ,38.51,  ,0.32, ,330,
NGC 6946,0.07,  ,0.03, ,0.038, ,0.64, ,-13.01,L ,38.55,L ,34.32, ,188,
NGC 6951,0.06,  ,0.42, ,0.23, ,2.48, ,-13.78,  ,39.07,  ,3.8, ,232,
NGC 7080,     ,  ,     , ,0.042, ,0.6, ,-13.49,L ,40.21,L ,16.16, ,101,
NGC 7177,0.2,  ,0.2, ,0.14, ,0.68, ,-13.66,  ,38.94,  ,6.07, ,330,
NGC 7217,0.13,  ,0.28, ,0.25, ,3.13, ,-13.62,  ,38.86,  ,3.09, ,270,
NGC 7331,0.23,  ,0.65, ,0.097,u,1.44, ,-13.9,  ,38.49,  ,1.05, ,221,
NGC 7448,0.19,  ,0.07, ,0.051, ,0.43, ,-14.01,  ,39.03,  ,4.64, ,130,
NGC 7479,0.1,  ,0.4, ,0.15, ,1.16, ,-13.56,  ,39.53,  ,12, ,394,
NGC 7626,0.31,u ,0.51,c,0.22,u,2.35, ,-14.59,  ,38.81,  ,0.6, ,581,
NGC 7640,0.36,  ,0.28, ,0.072, ,0.26, ,-14.56,  ,37.39,  ,9.89, ,78,
NGC 7741,0.24,  ,0.18, ,0.013, ,0.25, ,-13.61,  ,38.65,  ,102.71, ,95,
NGC 7742,0.39,  ,0.99, ,0.13, ,1, ,-13.71,  ,39.07,  ,2.44, ,183,
NGC 7743,0.16,  ,0.93, ,0.24, ,1.65, ,-13.26,  ,39.59,  ,7.93, ,300,
NGC 7798,0.19,  ,0.05, ,0.034, ,0.64, ,-13.16,  ,39.94,  ,26.95, ,132,
NGC 7814,0.64,b ,0.64,u,0.6,b,0.76,u,-15.6,b ,36.83,b ,0.13,b,   ,
NGC 7817,0.18,  ,0.29, ,0.014, ,0.39, ,-13.25,  ,39.83,  ,70.12, ,133,
UGC 3714,0.21,  ,0.07, ,0.041, ,0.46, ,-13.66,  ,39.64,  ,10.66, ,195,
UGC 3828,0.2,  ,0.06, ,0.021, ,0.39, ,-13.36,  ,40.06,  ,31.35, ,199,
UGC 4028,0.24,  ,0.13, ,0.036, ,0.47, ,-13.75,  ,39.77,  ,14.22, ,194,
UGC 6484,0.34,  ,0.14, ,0.042,b,0.53, ,-14.78,  ,38.32,  ,2.42, ,132,u
